,Timestamp,Product Name,Seller,Price
67,2024-12-26 13:50:17,"Apple iPhone 14 15,5 cm (6.1"") Double SIM iOS 17 5G 512 Go Noir",E.Leclerc,1266.17
68,2024-12-26 13:50:24,Smartphone Apple iPhone 14 256Go Noir Midnight,E.Leclerc,837.96
69,2024-12-26 14:20:31,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",E.Leclerc,1349.0
70,2024-12-26 14:20:38,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 256 Go Noir",E.Leclerc,1098.0
71,2024-12-26 14:20:45,Non trouvé,E.Leclerc,969.0
72,2024-12-26 14:20:52,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",Stock e-commerce,1582.6
73,2024-12-26 14:20:59,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 256 Go Noir",E.Leclerc,1240.0
74,2024-12-26 14:21:05,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 128 Go Noir",E.Leclerc,1119.0
75,2024-12-26 14:21:06,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 128 Go Noir",Espace-Disque,1225.8
76,2024-12-26 14:21:13,"Apple iPhone 16 Pro 16 cm (6.3"") Double SIM iOS 18 5G USB Type-C 1 To Noir",E.Leclerc,1859.0
77,2024-12-26 14:21:26,Smartphone Apple iPhone 15 256GB noir,E.Leclerc,999.0
78,2024-12-26 14:21:32,Smartphone Apple iPhone 15 128GB noir,E.Leclerc,869.0
79,2024-12-26 14:21:39,"Apple iPhone 14 15,5 cm (6.1"") Double SIM iOS 17 5G 512 Go Noir",E.Leclerc,1266.17
80,2024-12-26 14:21:46,Smartphone Apple iPhone 14 256Go Noir Midnight,E.Leclerc,837.96
81,2024-12-26 14:51:52,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",E.Leclerc,1349.0
82,2024-12-26 14:51:59,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 256 Go Noir",E.Leclerc,1098.0
83,2024-12-26 14:52:06,Non trouvé,E.Leclerc,969.0
84,2024-12-26 14:52:12,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",Stock e-commerce,1582.6
85,2024-12-26 14:52:19,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 256 Go Noir",E.Leclerc,1240.0
86,2024-12-26 14:52:26,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 128 Go Noir",E.Leclerc,1119.0
87,2024-12-26 14:52:32,"Apple iPhone 16 Pro 16 cm (6.3"") Double SIM iOS 18 5G USB Type-C 1 To Noir",E.Leclerc,1859.0
88,2024-12-26 14:52:33,"Apple iPhone 16 Pro 16 cm (6.3"") Double SIM iOS 18 5G USB Type-C 1 To Noir",ZOOMICI,2575.09
89,2024-12-26 14:52:46,Smartphone Apple iPhone 15 256GB noir,E.Leclerc,999.0
90,2024-12-26 14:52:52,Smartphone Apple iPhone 15 128GB noir,E.Leclerc,869.0
91,2024-12-26 14:52:59,"Apple iPhone 14 15,5 cm (6.1"") Double SIM iOS 17 5G 512 Go Noir",E.Leclerc,1266.17
92,2024-12-26 14:53:06,Smartphone Apple iPhone 14 256Go Noir Midnight,E.Leclerc,837.96
93,2024-12-26 15:23:13,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",E.Leclerc,1349.0
94,2024-12-26 15:23:19,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 256 Go Noir",E.Leclerc,1098.0
95,2024-12-26 15:23:26,Non trouvé,E.Leclerc,969.0
96,2024-12-26 15:23:31,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",Stock e-commerce,1582.6
97,2024-12-26 15:23:38,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 256 Go Noir",E.Leclerc,1240.0
98,2024-12-26 15:23:45,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 128 Go Noir",E.Leclerc,1119.0
99,2024-12-26 15:23:52,"Apple iPhone 16 Pro 16 cm (6.3"") Double SIM iOS 18 5G USB Type-C 1 To Noir",E.Leclerc,1859.0
100,2024-12-26 15:24:05,Smartphone Apple iPhone 15 256GB noir,E.Leclerc,999.0
101,2024-12-26 15:24:11,Smartphone Apple iPhone 15 128GB noir,E.Leclerc,869.0
102,2024-12-26 15:24:18,"Apple iPhone 14 15,5 cm (6.1"") Double SIM iOS 17 5G 512 Go Noir",E.Leclerc,1266.17
103,2024-12-26 15:24:25,Smartphone Apple iPhone 14 256Go Noir Midnight,E.Leclerc,837.96
104,2024-12-26 15:54:31,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",E.Leclerc,1349.0
105,2024-12-26 15:54:32,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",ZOOMICI,1946.22
106,2024-12-26 15:54:38,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 256 Go Noir",E.Leclerc,1098.0
107,2024-12-26 15:54:45,Non trouvé,E.Leclerc,969.0
108,2024-12-26 15:54:51,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",Stock e-commerce,1582.6
109,2024-12-26 15:54:58,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 256 Go Noir",E.Leclerc,1240.0
110,2024-12-26 15:55:04,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 128 Go Noir",E.Leclerc,1119.0
111,2024-12-26 15:55:11,"Apple iPhone 16 Pro 16 cm (6.3"") Double SIM iOS 18 5G USB Type-C 1 To Noir",E.Leclerc,1859.0
112,2024-12-26 15:55:24,Smartphone Apple iPhone 15 256GB noir,E.Leclerc,999.0
113,2024-12-26 15:55:31,Smartphone Apple iPhone 15 128GB noir,E.Leclerc,869.0
